dataset,condition,classifier,Accuracy,Precision,Recall,F1
glass,RN-SMOTE,NB,0.9756699889258029,0.6943333333333334,0.87,0.7335238095238096
glass,RN-SMOTE,SVM,0.794828349944629,0.13265667665667666,0.7,0.2200399012751954
glass,SMOTE-LOF,NB,0.9728682170542635,0.6709999999999999,0.76,0.6608571428571429
glass,SMOTE-LOF,SVM,0.9524473975636767,0.0,0.0,0.0
haberman,RN-SMOTE,NB,0.7406081438392386,0.5176719391719391,0.39522058823529416,0.4392957923955992
haberman,RN-SMOTE,SVM,0.7402644103648863,0.5190738705738706,0.37654411764705886,0.43176508428055316
haberman,SMOTE-LOF,NB,0.7321575885774722,0.5063743393270853,0.4074264705882353,0.44288716936074946
haberman,SMOTE-LOF,SVM,0.7457905869910101,0.5337088467088467,0.37022058823529413,0.4321457763951356
pima,RN-SMOTE,NB,0.7464442746795688,0.6256621343736053,0.6934940600978337,0.6563924533513348
pima,RN-SMOTE,SVM,0.7346099651982004,0.6059922528955642,0.694325646401118,0.6456842629130878
pima,SMOTE-LOF,NB,0.7536100500806383,0.6391055186446437,0.6856673654786861,0.6601948798592021
pima,SMOTE-LOF,SVM,0.7314845938375351,0.6035067165152563,0.6839203354297695,0.6396911633417003
