dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
blood,Original,AdaBoost,0.5344763612642749,0.30401465060729443,0.334944496696179,0.4108988835238388,0.6336232656232657,0.3129411764705882
blood,Original,CART,0.4875092346177317,0.14796731634857,0.15171325008316,0.32263228280970246,0.37608122811141387,0.29026143790849673
blood,Original,GB,0.507712424714881,0.2445896560181554,0.2648062803856458,0.3674839172699027,0.5355690420690421,0.289281045751634
blood,Original,KNN,0.5004053287908566,0.22347815381915723,0.24319381110179517,0.35428627511401567,0.5164826660267837,0.2871241830065359
blood,Original,NB,0.40786417883881754,0.1418011416960014,0.16220077341043107,0.2617498851746016,0.4484886224886225,0.19111111111111106
blood,Original,RF,0.5015676399163754,0.19445222431334752,0.20109500416622592,0.3469873790216759,0.4298738151253631,0.299281045751634
blood,Original,SGD-LR,0.24213346212788028,0.08261347430535018,0.10847608962859669,0.2043341066666726,0.16930478993537407,0.34431372549019607
blood,Original,SVM,0.11643784290926654,0.036396846019825416,0.07995266701707517,0.05547535505430241,0.4,0.030261437908496714
blood,Original,XGBoost,0.5229590025818854,0.21670399031765747,0.22386385009314236,0.3684552600546149,0.45059992948228245,0.3211764705882353
blood,RN-SMOTE,AdaBoost,0.674117619155381,0.27970280274897613,0.30837461293465124,0.4990291268886963,0.39051231133190195,0.6994771241830066
blood,RN-SMOTE,CART,0.5424714734615168,0.14665819141102324,0.1488569369602838,0.36375030073469783,0.3417513146005842,0.39666666666666667
blood,RN-SMOTE,GB,0.6521196415847829,0.2770215262806914,0.2883000131226813,0.47932643783181483,0.408770735137073,0.5881045751633986
blood,RN-SMOTE,KNN,0.6206560184045579,0.23645776881103386,0.2439830158246049,0.44631359284199623,0.3897654721204363,0.5318954248366013
blood,RN-SMOTE,NB,0.6572566377109302,0.25423582098147807,0.2924661932604841,0.48778522063143837,0.3753775805289274,0.7245751633986929
blood,RN-SMOTE,RF,0.5756588719632159,0.19227511913646794,0.19504150665576184,0.3997364724985909,0.3702493281418693,0.4410457516339869
blood,RN-SMOTE,SGD-LR,0.40443776254763975,0.12701508386510807,0.1833900871254171,0.32973917998536045,0.2581068761838037,0.6030065359477124
blood,RN-SMOTE,SVM,0.613194270006263,0.1835786614859968,0.20505035138567343,0.4353800107210084,0.3377785310722552,0.6236601307189542
blood,RN-SMOTE,XGBoost,0.587673168342195,0.20801959574709136,0.21156928858080742,0.41296716369220926,0.3784836132823874,0.461437908496732
blood,SMOTE,AdaBoost,0.6762966305702487,0.29866272057751664,0.3186916068867052,0.5033903669645798,0.41111264999137653,0.6593464052287581
blood,SMOTE,CART,0.5180718688761689,0.12206215942982199,0.12326514147207947,0.33847554486666526,0.3266567266336212,0.35732026143790846
blood,SMOTE,GB,0.6417056405239818,0.292160013247676,0.297391581720478,0.4768469050012439,0.4363365445429276,0.5354248366013072
blood,SMOTE,KNN,0.6282089971224142,0.25885394802287337,0.2644020008237204,0.4581067774811748,0.4093324955700425,0.5283006535947713
blood,SMOTE,NB,0.5670954588374052,0.2231022407259927,0.2302846088082057,0.4035438833819456,0.41534349253660985,0.41856209150326795
blood,SMOTE,RF,0.5592199938503942,0.1833186467942766,0.18540644456035593,0.385797537344568,0.3704862010299418,0.41104575163398693
blood,SMOTE,SGD-LR,0.41574523070096703,0.13176274278184397,0.1846707918386471,0.3387723172510173,0.2799624169768945,0.6075163398692811
blood,SMOTE,SVM,0.615418629320792,0.18685815515662887,0.20907973598233315,0.43777192775430385,0.33922829967001467,0.6281699346405228
blood,SMOTE,XGBoost,0.569239241517225,0.20313038069356668,0.20492859120899426,0.39789370907224897,0.3856284024316869,0.4187581699346405
cardiotocography,Original,AdaBoost,0.6464570523219354,0.5606878863515726,0.59562926619164,0.5656190476190477,0.8033333333333332,0.475
cardiotocography,Original,CART,0.6902003317091788,0.5409151311365036,0.5598736793758106,0.5482698412698412,0.655,0.52
cardiotocography,Original,GB,0.6964141860956591,0.6059003190174522,0.6347580321561044,0.6110634920634921,0.816,0.5266666666666666
cardiotocography,Original,KNN,0.35166985251645577,0.2834202208571223,0.3167009016269752,0.2886666666666667,0.51,0.21166666666666664
cardiotocography,Original,NB,0.8379936537473921,0.20549254726752378,0.30166228070360807,0.2319131339788585,0.1369850396208326,0.8016666666666667
